"HP.Indx.England","HP.Indx.NorIre","HP.Indx.Scot","HP.Indx.Wales","DATE"
10.09949083,18.01953316,12.42305977,12.27396488,"1981 Q2"
10.23313248,18.56960311,12.54706491,13.31662857,"1981 Q3"
10.0613075,18.83515413,12.60343088,11.93396586,"1981 Q4"
9.784478351,18.36095589,12.54706491,12.00196566,"1982 Q1"
10.19494915,19.42315995,13.11072461,13.03329605,"1982 Q2"
10.46223246,19.06276929,13.22345655,13.32796187,"1982 Q3"
10.60541995,19.93529405,13.65183792,13.38462837,"1982 Q4"
10.97770742,18.96792964,13.97876054,13.25996206,"1983 Q1"
11.26408239,20.6750433,14.993348,13.82662711,"1983 Q2"
11.74137402,22.00279838,14.65515218,14.73329118,"1983 Q3"
11.83683235,22.00279838,15.33154382,14.9599572,"1983 Q4"
12.027749,21.81311908,14.88061606,14.39329215,"1984 Q1"
12.4095823,21.0544019,15.5570077,14.50662516,"1984 Q2"
12.88687393,21.43376049,16.1206674,14.9599572,"1984 Q3"
13.07779058,21.43376049,16.00793546,15.18662322,"1984 Q4"
13.07779058,22.00279838,15.89520352,15.75328826,"1985 Q1"
13.5550822,21.62343979,16.6843271,15.63995525,"1985 Q2"
13.93691551,23.52023275,16.57159516,16.09328729,"1985 Q3"
14.31874881,23.70991205,16.90979098,16.09328729,"1985 Q4"
14.70058211,23.89959134,17.02252292,16.2066203,"1986 Q1"
15.36879039,25.03766712,17.47345068,16.31995331,"1986 Q2"
16.13245699,24.84798782,17.47345068,17.79328243,"1986 Q3"
16.70520694,25.22734642,17.8116465,17.56661641,"1986 Q4"
17.18249857,25.22734642,18.14984232,18.13328145,"1987 Q1"
18.0416235,26.3654222,18.71350202,18.24661446,"1987 Q2"
18.90074843,25.9860636,18.48803814,19.03994553,"1987 Q3"
20.09648955,26.05547631,19.22226227,19.81569815,"1987 Q4"
21.06001987,26.74114674,18.39371648,19.81569815,"1988 Q1"
22.29884457,26.96970354,19.71938974,21.09413029,"1988 Q2"
25.46472991,27.19826035,20.87935385,24.29021063,"1988 Q3"
26.97884899,27.65537397,21.54219048,24.9294267,"1988 Q4"
27.52943774,29.94094207,21.87360879,28.28531107,"1989 Q1"
28.35532088,26.05547631,23.19928205,31.48139141,"1989 Q2"
29.45649839,30.39805569,24.02782784,32.2804115,"1989 Q3"
28.76826244,26.96970354,25.68491942,31.00197936,"1989 Q4"
28.13983415,29.03402577,25.0929491,31.31772895,"1990 Q1"
27.8598358,29.54339465,25.89039452,30.22450227,"1990 Q2"
28.25183349,29.45350602,26.79416599,33.98648819,"1990 Q3"
27.71983662,32.21009051,27.99033411,32.47526308,"1990 Q4"
27.21583959,31.85053601,29.63838797,30.57819326,"1991 Q1"
27.24383943,30.59209527,28.1498232,30.16019482,"1991 Q2"
27.77583629,31.88049889,27.9637526,31.99295719,"1991 Q3"
27.32783893,34.30749176,29.23966527,33.63279721,"1991 Q4"
26.8238419,31.16138989,29.82445857,33.1183376,"1992 Q1"
26.12384603,32.32994201,29.8776216,31.06049914,"1992 Q2"
26.20060562,33.09416469,30.43205169,30.25130778,"1992 Q3"
25.04921181,33.35998127,30.77087008,30.50028974,"1992 Q4"
25.3050771,32.19703372,29.16918315,30.87376268,"1993 Q1"
25.38183669,32.56253152,31.57171355,30.93600816,"1993 Q2"
25.9191538,35.88523882,31.63331689,31.24723561,"1993 Q3"
25.53535586,32.76189396,30.15483665,30.99825365,"1993 Q4"
25.86798074,34.42324761,30.06243163,29.8467121,"1994 Q1"
26.14943256,31.79830884,31.26369683,32.27428618,"1994 Q2"
26.48205743,36.2839637,31.97213528,33.3324595,"1994 Q3"
26.45647091,35.98492004,31.17129181,29.78446661,"1994 Q4"
26.2091615666667,38.11145271,29.8776216,31.18335102,"1995 Q1"
26.4563061533333,38.47695051,30.37044835,31.4411911033333,"1995 Q2"
26.42441305,38.67631295,32.52656537,31.8075320333333,"1995 Q3"
26.0536661566667,39.27440027,31.91053194,31.0944058066667,"1995 Q4"
25.8889347066667,39.44053563,33.29660716,30.85751177,"1996 Q1"
26.4959813933333,41.96579318,31.2944985,31.7304017133333,"1996 Q2"
27.0859740633333,41.89933903,32.58816871,31.8928673366667,"1996 Q3"
27.3072246866667,45.15559218,32.80378042,32.07191732,"1996 Q4"
27.7327111466667,46.94985412,32.18774698,32.49120086,"1997 Q1"
28.7914789366667,44.42459658,34.06664896,33.28393648,"1997 Q2"
29.87851991,47.38180607,34.99069911,33.91294291,"1997 Q3"
30.2532043866667,47.14921656,35.05230245,33.95612055,"1997 Q4"
30.53305747,47.88021217,34.37466568,34.0511470566667,"1998 Q1"
31.64485045,50.83742166,35.63753422,35.1488702633333,"1998 Q2"
32.3423096633333,51.70132556,37.39322951,35.4566340433333,"1998 Q3"
32.2728283766667,53.52881457,35.94555093,35.2177889033333,"1998 Q4"
32.4804560033333,55.72180139,34.62107905,35.6591822666667,"1999 Q1"
33.7642493833333,54.42594555,36.46917935,36.2872237566667,"1999 Q2"
35.34991301,56.85152187,38.44048635,37.3117621466667,"1999 Q3"
36.57426623,56.71861358,38.44048635,38.01010371,"1999 Q4"
37.4428454366667,60.30713746,38.25567632,38.3694320466667,"2000 Q1"
39.6426416266667,61.23749551,38.07086629,39.2951042166667,"2000 Q2"
41.0237329533333,61.80235575,38.31727966,40.3607776833333,"2000 Q3"
41.24404122,67.08546035,38.25567632,40.5932442066667,"2000 Q4"
41.7150228266667,73.73087495,40.10377662,40.6420125533333,"2001 Q1"
43.73198919,67.91613718,39.08732145,42.5483156466667,"2001 Q2"
45.75400348,71.43820691,40.19618164,44.3388820433333,"2001 Q3"
46.87014171,65.19151719,40.50419835,44.8093732766667,"2001 Q4"
47.95754202,70.0094427733333,41.36664516,45.5078071366667,"2002 Q1"
51.3705222133333,76.6136668766667,44.9931210533333,49.0374848233333,"2002 Q2"
55.3345927466667,80.1608119766667,47.11660884,52.3042110166667,"2002 Q3"
58.2604913366667,79.92744717,48.1921416166667,54.7661945166667,"2002 Q4"
60.2435975,81.3509725033333,46.5650535733333,57.6875593533333,"2003 Q1"
63.0809609666667,83.7079570766667,50.30184052,61.71736971,"2003 Q2"
65.7385339433333,83.8246394833333,53.59738325,66.3950629,"2003 Q3"
67.70796238,84.57140687,56.24484854,69.74912257,"2003 Q4"
69.4374994733333,86.8583820033333,59.2200392,73.4505420766667,"2004 Q1"
